33780 ; 0.0000 ; 48922 ; 0.0003 ; 
 64408 ; 0.0001 ; 99037 ; 0.0006 ; 
 149268 ; 0.0009 ; 176724 ; 0.0013 ; 
 284217 ; 0.0075 ; 330173 ; 0.0030 ; 
 583488 ; 0.0692 ; 650895 ; 0.0144 ; 
 
